"Study_ID","Study_ID_Plus","Country","Zone","Focus","Study_Site","Animal_Species_Corrected","Plant_Species_Corrected","Animal_Family","Plant_Family"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_515","Family_41","Family_51"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_515","Family_41","Family_51"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_515","Family_41","Family_51"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_425","Family_41","Family_44"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_425","Family_41","Family_44"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_673","Family_41","Family_67"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_673","Family_41","Family_67"
"CD70","CD70","Uganda","AE","Animal","Site_12","Frugivore_193","Plant_430","Family_41","Family_44"
"CD74","CD74","Uganda","AE","Animal","Site_11","Frugivore_193","Plant_98","Family_41","Family_6"
"CD73","CD73","Tanzania","AE","Animal","Site_14","Frugivore_193","Plant_100","Family_41","Family_6"
"CD31","CD31","Uganda","AE","Animal","Site_5","Frugivore_193","Plant_722","Family_41","Family_74"
"CD70","CD70","Uganda","AE","Animal","Site_12","Frugivore_193","Plant_744","Family_41","Family_76"
"CD62","CD62","Uganda","AE","Animal","Site_12","Frugivore_193","Plant_744","Family_41","Family_76"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_155","Family_41","Family_16"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_155","Family_41","Family_16"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_155","Family_41","Family_16"
"CD70","CD70","Uganda","AE","Animal","Site_12","Frugivore_193","Plant_377","Family_41","Family_38"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_377","Family_41","Family_38"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_377","Family_41","Family_38"
"CD74","CD74","Uganda","AE","Animal","Site_11","Frugivore_193","Plant_906","Family_41","Family_84"
"CD73","CD73","Tanzania","AE","Animal","Site_14","Frugivore_193","Plant_906","Family_41","Family_84"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_59","Family_41","Family_5"
"CD74","CD74","Uganda","AE","Animal","Site_11","Frugivore_193","Plant_62","Family_41","Family_5"
"CD70","CD70","Uganda","AE","Animal","Site_12","Frugivore_193","Plant_606","Family_41","Family_56"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_937","Family_41","Family_90"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_937","Family_41","Family_90"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_937","Family_41","Family_90"
"CD74","CD74","Uganda","AE","Animal","Site_11","Frugivore_193","Plant_938","Family_41","Family_90"
"CD73","CD73","Tanzania","AE","Animal","Site_14","Frugivore_193","Plant_939","Family_41","Family_90"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_939","Family_41","Family_90"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_939","Family_41","Family_90"
"CD70","CD70","Uganda","AE","Animal","Site_12","Frugivore_193","Plant_940","Family_41","Family_90"
"CD74","CD74","Uganda","AE","Animal","Site_11","Frugivore_193","Plant_940","Family_41","Family_90"
"CD31","CD31","Uganda","AE","Animal","Site_5","Frugivore_193","Plant_940","Family_41","Family_90"
"CD31","CD31","Uganda","AE","Animal","Site_5","Frugivore_193","Plant_177","Family_41","Family_23"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_786","Family_41","Family_79"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_786","Family_41","Family_79"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_633","Family_41","Family_61"
"CD31","CD31","Uganda","AE","Animal","Site_5","Frugivore_193","Plant_645","Family_41","Family_62"
"CD70","CD70","Uganda","AE","Animal","Site_12","Frugivore_193","Plant_647","Family_41","Family_62"
"CD31","CD31","Uganda","AE","Animal","Site_5","Frugivore_193","Plant_659","Family_41","Family_65"
